Apprendre les langues autour de passions communes!, Learn languages ​​around common passions!
Connexion, Sign in
S'enregistrer, Sign up
Voici des événements autour de vous, Here are events around you
CGU - Mentions légales, Legal Notice
Plan du site, Sitemap
Accueil, Home
Votre adresse mail, Your mail adress
Votre mot de passe, Your password
Mot de passe oublié?,Forgot your password?
Envoyer, Send
Votre prénom, Your firstname
Votre ville, Your town
Choisir votre mot de passe (8 caractères min. chiffres/lettres), Choose your password (8 characters min. numbers/letters)
Confirmez votre mot de passe, Confirm your password
Mon espace, My space
Mon profil, My profile
Rechercher, Research
Créer un événement, Create an event
Bonjour, Hello
Des évènements et sorties autour de toi!, Events and outings around you!
J'y participe, I participate
J'y ai participé, I participated
Mes évènements, My events
Déconnexion, Logout
Confirmation déconnexion, Logout Confirmation
Voulez-vous vraiment vous déconnecter?, Are you sure you want to log out?
Oups désolé...!, Oops sorry ...!
Oui je le veux !, Yes do it !
CGU - Mentions légales du site, Legal notices of the site
Page utilisateur, User page
Descriptif événement, Event description
Les participants , The participants 
Modifier mon profil et mon compte, Modify my profile and my account
Ajouter ou modifier sa photo de profil, Add or modify your profile photo
Afficher, Display
Modifier ses informations, Edit your information
Votre description, Your description
Choisir les langues que tu parles, Choose the languages ​​you speak
Choisir les langues que tu veux apprendre, Choose the languages ​​you want to learn
Je parle le, I speak
Je veux apprendre le, I want to learn
Valider, Validate
Changer son mot de passe, Change your password
Nouveau mot de passe, New password
Répéter nouveau mot de passe, Repeat new password
Supprimer son compte, Delete your account
Début, Start
Fin, End
Participer, Participate
Membre organisateur, Organizing member
M'envoyer un message, Send me a message
organisé le, organized on
Mes évènements crées, My created events
J'habite à , I'm living in 
Je parle..., I speak...
Je souhaite apprendre..., I want to learn ...
Voir, Watch it
Supprimer cet événement, Delete this event
Annuler ma participation, Cancel my participation
Vous participez à cet événement!, You are participating in this event!
Rechercher un événement, Find an event
Ville, Town
Langue que vous parlez, Language you speak
Thème, Theme
Résultats, Findings
Langue que vous apprenez, Language you learn
( Ile-de-France -> Tapez 75 ), ( Ile-de-France -> Insert 75)
Champs obligatoires, Required fields
Renseignez la ville ou le département, Enter the city or the department
Département, County
Confirmez-vous la suppression de votre compte?, Do you confirm deletion of your account?
Sélectionnez votre département, Select you county
Nom de l'événement, Event name
Sélectionner le thème, Select the theme
Autre thème, Other theme
Sélectionner les langues pratiquées, Select the languages ​​used
Adresse, Address
Horaires (début - fin), Times (start - end)
Ajouter des photos de l'événement - une obligatoire et 3 maximum, Add Event photos - a mandatory image and max. 3
J'accepte les conditions générales d'utilisation du site, I accept the general conditions of use of the site
Calendrier de vos events, Events Calendar
Pas d'évènements !, No events !
Votre message a bien été envoyé, Your message has been sent
Alerte! Cet événement auquel vous participez a été supprimé par son organisateur, Alert! This event in which you participated was deleted by the organizer

